Fold,Model,Train MSE,Train RMSE,Train MAE,Train MedAE,Train R2,Train Adj R2,Valid MSE,Valid RMSE,Valid MAE,Valid MedAE,Valid R2,Valid Adj R2,Training Runtime,Prediction Runtime
0,Linear Regression,913071.7070512903,955.5478570177897,628.4408498990607,428.3344653585664,0.944091486601558,0.9440831297913875,892854.5516452489,944.9098113816201,622.3470275009539,429.5578195021417,0.9452591618090129,0.9452509795346951,0.22,0.03
0,Ridge Regression,913071.8914483712,955.5479535054069,628.4515038233288,428.36270197102635,0.9440914753106959,0.9440831184988379,892912.8869941309,944.9406790873863,622.3566203481241,429.57469198848275,0.945255585273632,0.9452474024647188,0.07,0.03
0,Lasso,915398.0229648638,956.7643508016296,628.5375156849642,427.46490334287273,0.9439490433920941,0.9439406652905176,890488.8277624216,943.6571558370241,622.0546929411825,427.9301744710865,0.9454042041432159,0.9453960435488029,4.72,0.03
0,Elastic Net,2329739.574518249,1526.3484446607363,1054.6053577716095,796.412867272245,0.8573471555290264,0.8573258327881941,2334082.6486207126,1527.7704829655247,1049.2560841503198,792.0896081806086,0.8568975872306436,0.8568761972915135,0.18,0.03
1,Linear Regression,905005.7072663431,951.3178791898863,626.9920316315432,429.48440925713066,0.9447069917919512,0.9446987269831545,916058.3868841974,957.1093912840879,632.7445069426319,433.6715416150096,0.9433368711712743,0.9433284015665129,0.14,0.02
1,Ridge Regression,905005.92772379,951.3179950593756,627.0011378535999,429.4673297830491,0.9447069783226931,0.9446987135118832,916052.6993078961,957.1064200536407,632.7557340491189,433.7487869151555,0.9433372229784006,0.9433287534262248,0.06,0.03
1,Lasso,907377.0108113245,952.5633893927084,627.3081934293784,428.9232644336071,0.9445621125880703,0.9445538261237523,920923.6557666233,959.6476727250597,633.5084692197138,433.33288231572305,0.9430359281730785,0.9430274135854807,4.19,0.03
1,Elastic Net,2332496.6999756177,1527.2513545502645,1053.4456027079095,795.696583314716,0.8574917725474162,0.8574704714229155,2308698.4632478175,1519.4401808718294,1052.2755333831942,798.7809944030741,0.8571946064544579,0.857173260911666,0.19,0.03
2,Linear Regression,908017.4702198688,952.8995068840517,627.2790390710114,429.0429733909268,0.9443688467080515,0.9443605313557132,903754.3783907174,950.659969910755,627.2702918375754,429.13767117373436,0.9447187050301293,0.9447104419721448,0.2,0.02
2,Ridge Regression,908017.6574008518,952.8996051005855,627.2902558201979,429.0466656224853,0.9443688352401071,0.9443605198860545,903754.4387205992,950.6600016412804,627.2826376375176,429.24383958921726,0.9447187013398413,0.9447104382813052,0.05,0.02
2,Lasso,910416.6450281735,954.1575577587663,627.4500025469225,427.8548740403796,0.94422185739792,0.9442135200746564,906435.2758527676,952.0689449051301,627.6851669847925,429.27695432775727,0.9445547185677373,0.9445464309982132,4.36,0.03
2,Elastic Net,2330380.084625057,1526.5582480288974,1052.4897561964628,794.0788604791414,0.8572255094553536,0.8572041685317243,2331521.7855577194,1526.9321483149536,1058.3397914496188,804.5641694467558,0.8573843218490352,0.8573630046635623,0.18,0.03
3,Linear Regression,900577.4363390782,948.9875849235743,626.6524024531204,428.9568546234914,0.9448180623455504,0.9448098141923998,933669.9775174625,966.2659972892881,629.3822536506766,428.6128117668925,0.9429161278385801,0.9429075953995243,0.14,0.02
3,Ridge Regression,900577.6240569233,948.9876838278373,626.6633267942598,428.97788534720985,0.9448180508433364,0.9448098026884665,933658.4713193508,966.2600433213363,629.3912430148242,428.55185632928124,0.9429168313187797,0.9429082989848745,0.06,0.03
3,Lasso,902899.395878346,950.2101851055618,626.8274348949359,428.5965080743863,0.9446757867106501,0.9446675172912795,935880.3357071491,967.4090839490547,629.5641902948801,428.0402677727925,0.9427809882203325,0.9427724355816912,4.6,0.03
3,Elastic Net,2329761.5349723767,1526.355638431744,1053.696669770722,796.7875649274056,0.8572463059976378,0.8572249683211988,2323058.153734775,1524.1581787120308,1049.1985964868811,788.5204290431304,0.8579699916838552,0.8579487621781443,0.2,0.03
4,Linear Regression,908281.4458412899,953.0380086026422,627.8377286588051,429.45602044906354,0.944261674098359,0.9442533427807588,902767.0806464627,950.1405583630575,626.2955577230988,426.1247024711563,0.9451365423288911,0.9451283417795723,0.13,0.03
4,Ridge Regression,908281.63509619,953.0381078929584,627.8493667466736,429.40492008258843,0.9442616624843914,0.9442533311650552,902770.8632735101,950.1425489227972,626.3071632104795,426.1762713449557,0.9451363124489992,0.9451281118653198,0.05,0.03
4,Lasso,910622.8322549197,954.2655983817712,628.0389115404687,428.80560894953805,0.9441179907064081,0.9441096379121676,904073.2999079471,950.8276920178267,626.1401402212824,424.912278797887,0.9450571600533318,0.9450489476385876,4.27,0.02
4,Elastic Net,2327860.1370514887,1525.7326558252232,1052.2246767487336,794.9361331773921,0.8571466723596523,0.8571253197907767,2355671.752009956,1534.819778348571,1057.7695415116618,794.6617165389102,0.8568398203433851,0.8568184219087329,0.26,0.03
