Fold,Model,Train Accuracy,Train Precision,Train Precision-Graduate,Train Precision-Dropout,Train Precision-Enrolled,Train Recall,Train Recall-Graduate,Train Recall-Dropout,Train Recall-Enrolled,Train F1 Score,Train F1 Score-Graduate,Train F1 Score-Dropout,Train F1 Score-Enrolled,Train ROC AUC,Train ROC AUC-Graduate,Train ROC AUC-Dropout,Train ROC AUC-Enrolled,Train Avg Precision,Train Avg Precision-Graduate,Train Avg Precision-Dropout,Train Avg Precision-Enrolled,Valid Accuracy,Valid Precision,Valid Precision-Graduate,Valid Precision-Dropout,Valid Precision-Enrolled,Valid Recall,Valid Recall-Graduate,Valid Recall-Dropout,Valid Recall-Enrolled,Valid F1 Score,Valid F1 Score-Graduate,Valid F1 Score-Dropout,Valid F1 Score-Enrolled,Valid ROC AUC,Valid ROC AUC-Graduate,Valid ROC AUC-Dropout,Valid ROC AUC-Enrolled,Valid Avg Precision,Valid Avg Precision-Graduate,Valid Avg Precision-Dropout,Valid Avg Precision-Enrolled,Training Runtime,Prediction Runtime
0,Logistic Regression,0.8140131342503348,0.7816474585949926,0.8945365588475129,0.6181061394380853,0.8322996774993798,0.7615071359926248,0.8131145920838069,0.5466867469879518,0.9247200689061155,0.7693901781102639,0.851884448125906,0.5802068996137282,0.8760791865911576,0.9201486700672054,0.9507946062335302,0.863472515812645,0.9461788881554408,0.8094508829707235,0.9277343980465087,0.5770490824562771,0.9235691684093846,0.8146889702038683,0.7823698357735952,0.8967403194049443,0.6155844155844156,0.8347847723314257,0.7633615205731776,0.8102391777031034,0.5552208835341366,0.9246245004822929,0.7708518351717831,0.8512980269989616,0.5838465599155376,0.87741091860085,0.919662070545959,0.9510151515195366,0.8621527084846912,0.9458183516336495,0.8100873560058787,0.9292145777344161,0.5772487640047286,0.9237987262784912,0.56,0.05
0,Linear Discriminant Analysis,0.803116934034698,0.7768180407903279,0.926148664902574,0.5856085736157183,0.8186968838526912,0.7543438026513756,0.7609823590453131,0.5760542168674698,0.9259948320413437,0.7617731256245155,0.8354808083548081,0.5807921042642035,0.8690464642545349,0.9121832781376428,0.9488464928993456,0.8503902668650323,0.9373130746485504,0.7996642705783413,0.9244651704834046,0.5640188837714958,0.9105087574801238,0.8003789858860428,0.7745033980260004,0.9297046619477667,0.5775978407557355,0.8162076913744996,0.7509929869686361,0.7529155959675825,0.5729585006693441,0.9271048642689816,0.7584735222687279,0.8320227173438183,0.5752688172043011,0.8681290322580645,0.9114145770665142,0.9491348307637039,0.8481231138693563,0.9369857865664822,0.7981566420710612,0.9261826247598332,0.5581978616695042,0.910089439783846,0.2,0.04
0,Bernoulli Bayes,0.7868461463064005,0.7521485331839625,0.8801331227436823,0.5506542671385071,0.8256582096696984,0.740735207671465,0.7710134901418194,0.5598226238286479,0.8913695090439276,0.7448082201356838,0.8219676017384433,0.5552005974360038,0.8572564612326043,0.8964965127138548,0.9323936475396322,0.833994230239948,0.923101660361984,0.7803186301274806,0.897514959321383,0.5443565118972544,0.8990844191638045,0.7852848928384736,0.750053832672823,0.8768018018018018,0.545928338762215,0.8274313574544522,0.7396964004640424,0.769519667918561,0.5609103078982597,0.8886592255753066,0.7433120603347326,0.8196652279187283,0.5533179267084847,0.8569530263769849,0.8955919713375752,0.9319404091746671,0.8330125742767541,0.9218229305613043,0.777481135179711,0.9000929972034403,0.5390077710534211,0.8933426372822716,0.04,0.12
0,Gaussian Bayes,0.7693174763942889,0.7284579970803008,0.8433557611438184,0.5533693007510843,0.788648929346,0.7066605458782189,0.7928052576962988,0.4376673360107095,0.8895090439276486,0.714037324381243,0.817299610300298,0.48876430740481197,0.8360480554386193,0.8793177968051786,0.9234760440586165,0.8095596526824279,0.9049176936744913,0.7281932296770118,0.8593365279541911,0.46281757591468964,0.8624255851621548,0.760977522216414,0.7160794287071838,0.8323215407159305,0.5304644226672348,0.7854523227383863,0.6959816042909006,0.7859260723463135,0.4166666666666667,0.8853520738597217,0.7025344983324121,0.8084587230581537,0.46672914714151825,0.8324156247975643,0.8796802472461168,0.924315536406856,0.8099609790249012,0.9047642263065933,0.7301480964477176,0.8668123606306988,0.4582098064850717,0.8654221222273825,0.05,0.18000000000000002
1,Logistic Regression,0.8142091678374228,0.7817873066983699,0.6191791257975431,0.8942229454841334,0.8319598488134333,0.7612696025938058,0.5440093708165997,0.8145970252507783,0.9252024117140396,0.7692757976251935,0.5791653676568833,0.8525548200248242,0.8761072051938731,0.9199004162645283,0.8623454833910772,0.9512598914662986,0.9460958739362094,0.80943594657532,0.5757634592958337,0.9284658003738218,0.9240785800563043,0.8170412963930999,0.785637761977858,0.6271186440677966,0.8944287882072404,0.8353658536585366,0.7659476703131984,0.5572289156626506,0.8155762008302035,0.9250378944467411,0.7737380314673299,0.5901116427432217,0.8531844499586435,0.8779180017001242,0.921055171974911,0.8677150819364934,0.9490959339626475,0.946354500025592,0.8102771486989006,0.5831436431513798,0.9262672723912061,0.9214205305541158,0.52,0.05
1,Linear Discriminant Analysis,0.8020877577024864,0.7754802249268161,0.5824531516183986,0.9261154934666105,0.8178720296954392,0.7527495117184358,0.5721218206157965,0.7599940702673321,0.9261326442721791,0.7602515877301347,0.5772412628735438,0.8348713494734556,0.8686421508434047,0.9117989450884826,0.8490074119845602,0.9493196382319933,0.9370697850488939,0.7989626278972364,0.5610419796367311,0.9252592051089092,0.9105866989460689,0.806913225300575,0.7813275735986914,0.5971370143149284,0.9251554280248685,0.8216902784562775,0.7594086310520748,0.5863453815261044,0.7647756473611386,0.9271048642689816,0.7667559067415883,0.5916919959473151,0.8373552645817552,0.8712204596956944,0.9134386876941608,0.8561681906797918,0.9464725222366317,0.9376753501660587,0.8032379632602394,0.5786789044747913,0.9218853748838509,0.9091496104220762,0.21,0.04
1,Bernoulli Bayes,0.786225373280622,0.7492663695232894,0.5519918109698883,0.8707961659925758,0.8250111316074041,0.7372582385983479,0.5414156626506024,0.7766467361763107,0.8937123169681309,0.7418908094734894,0.5466525871172122,0.8210311863344303,0.8579886549688259,0.8956921526406189,0.8318273567929575,0.9323599159173835,0.9228891852115155,0.7780069839309017,0.5377416759984542,0.8980443261589592,0.8982349496352917,0.7865263983272347,0.749788534465413,0.5512820512820513,0.8715738284703802,0.8265097236438076,0.7388107101744895,0.5468540829986613,0.7794030440798577,0.8901750034449497,0.743045510656574,0.5490591397849462,0.8229155796723364,0.8571618125124395,0.8958582339640996,0.8323300645474613,0.9317438317651613,0.9235008055796763,0.7791709223064043,0.5425389507493549,0.8981559426746484,0.8968178734952097,0.05,0.13
1,Gaussian Bayes,0.7669814094814912,0.7250462311781153,0.5522806231088199,0.8404104926959527,0.7824475777295734,0.7000824836379725,0.41231593038821956,0.7931511587685922,0.894780361757106,0.7076977123778736,0.47214371257485027,0.8160972137482204,0.8348522108105502,0.8806017904062221,0.8114801358955098,0.9241920312650511,0.9061332040581054,0.7296161000565906,0.46572881998383026,0.8568277657977996,0.8662917143881419,0.7675117616309461,0.7261667218368113,0.5540838852097131,0.8411740216486261,0.7832422586520947,0.702528290600104,0.42001338688085676,0.7987744613559992,0.888797023563456,0.7099787246054484,0.477822196839901,0.8194261380918585,0.8326878388845856,0.8791232066506321,0.8098733979981851,0.9237263347646623,0.9037698871890494,0.7306940387949962,0.47255715908486773,0.8587931656685827,0.8607317916315381,0.04,0.18000000000000002
2,Logistic Regression,0.814617571143856,0.7825760615853636,0.895407746363785,0.6193748823197138,0.8329455560725919,0.7625832687740949,0.8122652698161692,0.5504518072289156,0.9250327292771997,0.7704242451049469,0.851812504858394,0.5828829627004518,0.8765772677559949,0.920560699831629,0.9508490602293204,0.864278774456629,0.9465542648089377,0.8104726336165525,0.9282417310122388,0.5790645104718226,0.9241116593655964,0.8112258233141663,0.7781884387203691,0.893058568329718,0.611404833836858,0.8301019139945315,0.7586499898002801,0.8136363636363636,0.5418340026773761,0.9204796030871003,0.7663260676892847,0.8514994829369184,0.5745209368346345,0.8729577832963011,0.9184311512380656,0.9508160758905628,0.8597546242129935,0.9447227536106406,0.806060801992054,0.926792171135402,0.5681128782398183,0.9232773566009417,0.49,0.04
2,Linear Discriminant Analysis,0.8028718920508381,0.7768593353217611,0.9276132930513595,0.5847054829400781,0.8182592299738459,0.7539996256894906,0.7586479541411346,0.5763888888888888,0.9269620340384482,0.761469355026717,0.8346653618224325,0.5805174011965956,0.8692253020611229,0.9122719410923931,0.9487963603252907,0.8507706818232833,0.9372487811286052,0.8000458634498075,0.9249543926367307,0.5646904124121674,0.9104927853005244,0.8001176163094615,0.7723855288901609,0.9223416965352449,0.5778309955525145,0.8169838945827232,0.7503097952366865,0.7628458498023716,0.5652610441767069,0.9228224917309813,0.7577356008889234,0.8350459707950243,0.5714769074606666,0.8666839244110794,0.9109813106562288,0.9489067542477385,0.8474834707456002,0.9365537069753476,0.7961696140737264,0.9235161900243115,0.5551378486634733,0.9098548035333945,0.2,0.04
