Fold,Model,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train ROC AUC,Train Avg Precision,Valid Accuracy,Valid Precision,Valid Recall,Valid F1 Score,Valid ROC AUC,Valid Avg Precision,Training Runtime,Prediction Runtime
0,Decision Tree,0.9079205388353654,0.6452486459871984,0.7847305389221557,0.7081869764928398,0.9139241573518634,0.7651048866967346,0.900503026685992,0.6243203163618388,0.7562874251497006,0.6839967506092608,0.8996944375489998,0.7390475484501715,0.16,0.03
0,Extra Trees,0.8678489214766817,0.5238521168753727,0.7890718562874252,0.6296738740891172,0.8942173772050294,0.6663730816125201,0.8614545144513599,0.5089108910891089,0.7694610778443114,0.6126340882002383,0.8836110957327814,0.6431358776218262,1.75,0.49
0,Random Forest,0.9077500213146901,0.6470735367683842,0.7745508982035928,0.7050967566094304,0.9229972038475986,0.8003306418431142,0.9012703555290306,0.6274900398406374,0.7544910179640718,0.6851549755301795,0.9109043172229951,0.7764391406041213,1.87,0.56
0,AdaBoost,0.9276366271634411,0.8082191780821918,0.6447604790419161,0.7172953618119744,0.9255095758378858,0.7733827403000788,0.9243754795805269,0.8,0.6251497005988024,0.7018487394957983,0.9142657720645793,0.7588639460028976,2.04,0.73
0,Gradient Boosting,0.9569230113394152,0.939943342776204,0.745059880239521,0.831231732776618,0.9658173884857784,0.9020261204272391,0.9481626737147242,0.91484375,0.7011976047904191,0.7938983050847458,0.9438470806671775,0.8510234149232834,9.87,0.3
1,Decision Tree,0.8838562537300708,0.564524583289653,0.8061377245508982,0.6640360071521055,0.9057831399533174,0.7571785502343279,0.8866911075112968,0.5720321081537811,0.8107784431137725,0.6707951449095864,0.9096409626318493,0.7665233405812887,0.13,0.03
1,Extra Trees,0.8527368062068378,0.4895156121234319,0.8002994011976048,0.6074654849156298,0.8923734174954594,0.6627130006867152,0.8533549322192855,0.49078850405305824,0.7976047904191617,0.6076642335766423,0.891641887712794,0.6605115764211117,1.24,0.52
1,Random Forest,0.9077926506948589,0.648911943319838,0.7678143712574851,0.7033735600658255,0.919268387992878,0.7967087709101118,0.9109898542075199,0.6588832487309645,0.7772455089820359,0.7131868131868132,0.9195507880749089,0.7981621368915675,1.7,0.52
1,AdaBoost,0.9256330462955069,0.815004935834156,0.6179640718562874,0.7029374201787995,0.922215714336314,0.7660091301938831,0.927530053713019,0.8168469860896446,0.6329341317365269,0.713225371120108,0.9229615329436565,0.7755691584036402,1.83,0.78
1,Gradient Boosting,0.9554096683434223,0.940814757878555,0.732934131736527,0.8239649949511949,0.9631399518291184,0.8948712538669242,0.9535339756159945,0.9343629343629344,0.7245508982035929,0.8161888701517707,0.9566273060797582,0.8761933318986959,10.86,0.31
2,Decision Tree,0.8967516412311365,0.6045319972671374,0.7947604790419162,0.6867158194282758,0.9134151135545789,0.7634598608771539,0.8940233609003325,0.5995337995337995,0.770059880239521,0.674180865006553,0.9015892462018998,0.7468955343352915,0.14,0.03
